stage,srr,module,rank,status,module_key,issue,desc,possible_causes,possible_solutions
raw,SRR30333743,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333743,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333744,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333744,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333745,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333745,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333746,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333746,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333747,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333747,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333748,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333748,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333749,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333749,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333750,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333750,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333751,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
